State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,Nicobars,2000,Kharif     ,Arecanut,1254,2000
Andaman and Nicobar Islands,Nicobars,2000,Kharif     ,Other Kharif pulses,2,1
Andaman and Nicobar Islands,Nicobars,2000,Kharif     ,Rice,102,321
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Banana,176,641
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Cashewnut,720,165
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Coconut ,18168,65100000
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Dry ginger,36,100
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Sugarcane,1,2
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Sweet potato,5,15
Andaman and Nicobar Islands,Nicobars,2000,Whole Year ,Tapioca,40,169
Andaman and Nicobar Islands,Nicobars,2002,Whole Year ,Arecanut,1258,2083
Andaman and Nicobar Islands,Nicobars,2002,Whole Year ,Black pepper,63,13.5
Andaman and Nicobar Islands,Nicobars,2002,Whole Year ,Dry chillies,413,28.8
Andaman and Nicobar Islands,Nicobars,2003,Whole Year ,other oilseeds,4.2,0.3
Andaman and Nicobar Islands,Nicobars,2005,Whole Year ,Turmeric,10,70
Andaman and Nicobar Islands,Nicobars,2010,Autumn     ,Rice,3.5,10
Andaman and Nicobar Islands,Nicobars,2010,Autumn     ,Sugarcane,13.4,41.75
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Arecanut,944,1610
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Black pepper,23,8.5
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Cashewnut,1000.5,260.5
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Dry chillies,12,25
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Dry ginger,7,9.64
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Maize,3.84,18.22
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Moong(Green Gram),1.5,1.1
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Sweet potato,22,208
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Turmeric,2,0.5
Andaman and Nicobar Islands,Nicobars,2010,Rabi       ,Urad,1.5,1.16
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi       ,Arhar/Tur,294.5,90.8
Andaman and Nicobar Islands,North And Middle Andaman,2010,Rabi       ,Groundnut,4.75,6.8
